,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
541,10945.0,8.6296,51.1081,58.5336,106.0558,0.0498,2.7008,4.9117,shale,2,2
542,10945.5,8.652,52.427,58.4813,106.0033,0.0465,2.713,4.9135,shale,2,2
543,10946.0,8.652,47.9881,56.905,104.6557,0.0363,2.7253,4.8914,clean,1,2
544,10946.5,8.652,45.0346,56.7034,103.9981,0.0321,2.7322,4.8316,clean,1,2
545,10947.0,8.6296,44.3321,56.4876,102.714,0.0322,2.7401,4.71,clean,1,2
546,10947.5,8.652,50.0328,55.4025,101.2674,0.0461,2.7419,4.6317,shale,2,2
547,10948.0,8.6745,49.3976,54.8723,101.1323,0.0499,2.74,4.6235,clean,1,2
548,10948.5,8.6745,46.2688,54.3664,100.1124,0.0499,2.7167,4.764,clean,1,2
549,10949.0,8.6296,42.9435,52.7541,99.7467,0.0452,2.6999,4.8637,clean,1,2
550,10949.5,8.6745,43.8521,52.4964,100.3441,0.0405,2.6881,4.9323,clean,1,2
551,10950.0,8.6296,50.5512,52.8947,101.6173,0.0403,2.6902,4.9193,shale,2,2
552,10950.5,8.6408,43.1239,54.4384,102.6994,0.0316,2.6891,4.9202,clean,1,2
553,10951.0,8.652,38.9256,56.2768,104.1472,0.0241,2.691,4.9249,clean,1,2
554,10951.5,8.6633,30.1744,57.3173,105.1688,0.0209,2.6983,4.947,clean,1,2
555,10952.0,8.652,30.1255,57.5578,105.4134,0.015,2.7076,5.025,clean,1,2
556,10952.5,8.652,22.7757,57.4375,105.1911,0.0137,2.7223,5.0789,clean,1,2
557,10953.0,8.6296,23.1657,56.7515,104.1937,0.0098,2.727,5.1197,clean,1,2
558,10953.5,8.652,28.8426,55.6402,103.2772,0.0134,2.7277,5.0521,clean,1,2
559,10954.0,8.6745,43.3697,55.4329,103.4538,0.0208,2.7172,4.9641,clean,1,2
